½s¸¹,¤g¦a°Ï¬q¦ì¸m,¤g¦a²¾Âà­±¿n¥­¤è¤½¤Ø,¨Ï¥Î¤À°Ï©Î½s©w
RPUOMLSKJHNFFCM86CA,·RÄõ¬q,19.52,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPUOMLSKJHNFFCM86CA,·RÄõ¬q,46.44,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPOOMLSJJHNFFCM78CA,¤ô§À¬q,8937.50,«D³£¥«¡G´ËªL°Ï ; «D³£¥«½s©w¡GªL·~¥Î¦a
RPOOMLSJJHNFFCM78CA,¤ô§À¬q,5074.00,«D³£¥«¡G´ËªL°Ï ; «D³£¥«½s©w¡GªL·~¥Î¦a
RPOOMLSJJHNFFCM78CA,¤ô§À¬q,4253.00,«D³£¥«¡G´ËªL°Ï ; «D³£¥«½s©w¡GªL·~¥Î¦a
RPQOMLKKJHNFFAM08CA,¥ÃªÚ¬q,100.00,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPQOMLKKJHNFFAM08CA,¥ÃªÚ¬q,117.18,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPQOMLKKJHNFFAM08CA,¥ÃªÚ¬q,100.00,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPQOMLKKJHNFFAM08CA,¥ÃªÚ¬q,105.99,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPUNMLLKJHNFFCM68CA,¥_´ä·Ë¬q,742.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¤þºØ«Ø¿v¥Î¦a
RPUNMLKKJHNFFCM58CA,¯]®æ¬q,95.16,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¥ÒºØ«Ø¿v¥Î¦a
RPUNMLSJJHNFFCM66CA,ªø¼d¬q,2592.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPUNMLSJJHNFFCM66CA,ªø¼d¬q,531.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPUNMLSJJHNFFCM66CA,ªø¼d¬q,522.80,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPVNMLSJJHNFFCM76CA,¤¯·R¬q,83.74,³£¥«¡G¦í
RPVNMLSJJHNFFCM76CA,¤¯·R¬q,5.74,³£¥«¡G¨ä¥L
RPXNMLRKJHNFFAM76CA,ºÖ¼w¬q,4436.35,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPXNMLRKJHNFFAM76CA,ºÖ¼w¬q,438.16,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPQOMLTKJHNFFAM98CA,ªF¤¯¬q,156.35,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPROMLPLJHNFFBM88CA,¦P¼w¬q,25.36,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¥ÒºØ«Ø¿v¥Î¦a
RPROMLPLJHNFFBM88CA,¦P¼w¬q,90.67,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¥ÒºØ«Ø¿v¥Î¦a
RPROMLPLJHNFFBM88CA,¦P¼w¬q,1.48,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¥ÒºØ«Ø¿v¥Î¦a
RPROMLPLJHNFFBM88CA,¦P¼w¬q,.35,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¥æ³q¥Î¦a
RPROMLPLJHNFFBM88CA,¦P¼w¬q,1.30,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPSNMLKKJHNFFBM28CA,­XÓy¤s¬q,1693.30,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡GªL·~¥Î¦a
RPQNMLQLJHNFFAM68CA,¥b¤s¬q,20.85,³£¥«¡G¦í
RPQNMLOJKHNFFBM48CA,¯ó¤Ù¬q,95.00,³£¥«¡G¦í
RPXNMLPLJHNFFAM66CA,ºÖ§U¬q,76.66,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPRNMLTLJHNFFBM56CA,Âù¥V¬qÂù¥V¤p¬q,2737.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPSNMLMJKHNFFAM38CA,¤û¹BÔ³¬q,264.00,³£¥«¡G¨ä¥L
RPSNMLMJKHNFFAM38CA,¤û¹BÔ³¬q,132.00,³£¥«¡G¨ä¥L
RPSNMLMJKHNFFAM38CA,¤û¹BÔ³¬q,134.00,³£¥«¡G¨ä¥L
RPQNMLTJJHNFFBM88CA,´_¿³¬q,183.71,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPQNMLTJJHNFFBM88CA,´_¿³¬q,9.10,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¥æ³q¥Î¦a
RPTNMLMLJHNFFAM58CA,¦Ë³ò¬q,350.96,«D³£¥«¡G¤@¯ë¹A·~°Ï ; «D³£¥«½s©w¡G¤þºØ«Ø¿v¥Î¦a
RPPNMLKKJHNFFAM87CA,¥Ã¼Ö¬q,3131.00,«D³£¥«¡G´ËªL°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPSNMLMJKHNFFBM48CA,¤ô¨XÀY¬q,157.88,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPPNMLOKJHNFFAM28CA,Àç«n¬q,61.88,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPPNMLOKJHNFFAM28CA,Àç«n¬q,22.67,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPUNMLNLJHNFFAM78CA,·s¨ª¤ô¬q,20.56,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPUNMLNLJHNFFAM78CA,·s¨ª¤ô¬q,20.56,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPUNMLNLJHNFFAM78CA,·s¨ª¤ô¬q,37.51,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPUNMLNLJHNFFAM78CA,·s¨ª¤ô¬q,37.51,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPUNMLNLJHNFFAM78CA,·s¨ª¤ô¬q,76.51,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPUNMLNLJHNFFAM78CA,·s¨ª¤ô¬q,76.51,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPUNMLNLJHNFFAM78CA,·s¨ª¤ô¬q,76.64,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPUNMLNLJHNFFAM78CA,·s¨ª¤ô¬q,76.64,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPUNMLPLJHNFFCM56CA,¥­ÀR¬q,4125.00,«D³£¥«¡G´ËªL°Ï ; «D³£¥«½s©w¡GªL·~¥Î¦a
RPSNMLLKJHNFFCM48CA,®ç¦Ì§|¬q,5060.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡GªL·~¥Î¦a
RPTNMLTJJHNFFCM66CA,«n¿³¬q,1.19,³£¥«¡G¦í
RPUNMLLKJHNFFAM48CA,¥úµØ¬q,140.10,³£¥«¡G¦í
RPVNMLTKJHNFFCM96CA,Äª¤s¬q,11225.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPQOMLQKJHNFFAM68CA,¦P·½¬q,100.87,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPSNMLKKJHNFFDM48CA,·ÓÃè¬q,2972.43,«D³£¥«¡G¤@¯ë¹A·~°Ï ; «D³£¥«½s©w¡G¤þºØ«Ø¿v¥Î¦a
RPQNMLTJJHNFFAM88DA,¦W¤s¬q,21.72,³£¥«¡G¹A
RPVOMLSJJHNFFCM96DA,¥v´ä¬q,3141.04,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPVOMLSJJHNFFCM96DA,¥v´ä¬q,119.02,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPVOMLSJJHNFFCM96DA,¥v´ä¬q,921.02,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPVOMLSJJHNFFCM96DA,¥v´ä¬q,390.03,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPRNMLKKJHNFFEM48CA,¤K±i¬q,141.22,³£¥«¡G¦í
RPRNMLKKJHNFFEM48CA,¤K±i¬q,3.86,³£¥«¡G¦í
RPPNMLQLJHNFFCM78CA,©¾§µ¬q,24.94,³£¥«¡G¦í
RPPNMLQLJHNFFCM78CA,©¾§µ¬q,24.94,³£¥«¡G¦í
RPPNMLQLJHNFFCM78CA,©¾§µ¬q,24.94,³£¥«¡G¦í
RPPNMLNLJHNFFEM68CA,¤¤·¾¬q,70.26,³£¥«¡G°Ó
RPUNMLMKJHNFFDM98DA,®ÛªL¬q,145.44,³£¥«¡G¦í
RPRNMLSKJHNFFAM98DA,Às²´ªL¬q,1404.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPTNMLKKJHNFFDM58CA,¤p¥b¤Ñ¬q,6157.88,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡GªL·~¥Î¦a
RPSNMLPKJHNFFDM98CA,¦w©w¬q,3422.69,³£¥«¡G¹A
RPSNMLPKJHNFFDM98CA,¦w©w¬q,96.57,«D³£¥«¡G¤@¯ë¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPQNMLOKKHNFFEM98DA,«°¤¤¬q,21.75,³£¥«¡G¦í
RPQNMLOKKHNFFEM98DA,«°¤¤¬q,.25,³£¥«¡G¦í
RPPNMLMKJHNFFDM38CA,µµ«n¬q,2170.40,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPPNMLNLJHNFFDM58CA,¤j§|¬q¤j§|¤p¬q,64.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPQNMLNKJHNFFCM48CA,®H·½¬q,4140.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPQNMLMLJHNFFDM58CA,·sªì¶m¬q,354.01,«D³£¥«¡G¤@¯ë¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPQNMLMLJHNFFDM58CA,·sªì¶m¬q,1021.05,«D³£¥«¡G¤@¯ë¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPQNMLMLJHNFFDM58CA,·sªì¶m¬q,1076.51,«D³£¥«¡G¤@¯ë¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPQNMLMLJHNFFDM58CA,·sªì¶m¬q,1453.61,«D³£¥«¡G¤@¯ë¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPQNMLMLJHNFFDM58CA,·sªì¶m¬q,3435.87,«D³£¥«¡G¤@¯ë¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPQNMLMLJHNFFDM58CA,·sªì¶m¬q,1421.36,«D³£¥«¡G¤@¯ë¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPQNMLMLJHNFFDM58CA,·sªì¶m¬q,2540.81,«D³£¥«¡G¤@¯ë¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPRNMLMKJHNFFAM28CA,¤û¹BÔ³¬q,40.00,³£¥«¡G¹A
RPOOMLTKJHNFFAM78CA,¼Ì´¶¼d¬q,277.13,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPTNMLTJJHNFFAM09CA,«Ø¿³¬q,.43,³£¥«¡G¦í
RPTNMLTJJHNFFAM09CA,«Ø¿³¬q,22.34,³£¥«¡G¦í
RPTNMLTJJHNFFAM09CA,«Ø¿³¬q,84.61,³£¥«¡G¦í
RPVNMLLKJHNFFBM68CA,·s¥Ã¦w¬q,33.24,³£¥«¡G¹A
RPVNMLLKJHNFFBM68CA,·s¥Ã¦w¬q,1389.69,³£¥«¡G¹A
RPVNMLLKJHNFFBM68CA,·s¥Ã¦w¬q,33.08,³£¥«¡G¹A
RPPNMLLKJHNFFBM08CA,·s´I¥\¬q,3.23,³£¥«¡G¦í
RPPNMLLKJHNFFBM08CA,·s´I¥\¬q,10.57,³£¥«¡G¦í
RPPNMLLKJHNFFBM08CA,·s´I¥\¬q,1.46,³£¥«¡G¦í
RPPNMLLKJHNFFBM08CA,·s´I¥\¬q,.08,³£¥«¡G¦í
RPPNMLLKJHNFFBM08CA,·s´I¥\¬q,122.85,³£¥«¡G¦í
RPPNMLLKJHNFFBM08CA,·s´I¥\¬q,1.59,³£¥«¡G¦í
RPSNMLKKJHNFFAM18CA,ºÖ·Ë¬q,128.46,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPRNMLMKJHNFFBM38CA,·s¥Ã¦w¬q,64.81,³£¥«¡G¹A
RPRNMLTKJHNFFBM09CA,±N­x¬q,133.38,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPRNMLTKJHNFFBM09CA,±N­x¬q,139.97,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPRNMLTKJHNFFBM09CA,±N­x¬q,8.00,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPWNMLPJKHNFFAM09CA,¤p±T¬q,1761.03,³£¥«¡G¦í
RPPNMLMKJHNFFBM18CA,¥_§ë¬q,34.96,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¯S©w¥Øªº¨Æ·~¥Î¦a
RPVNMLLKJHNFFAM58CA,¥Ã·s¬q,54.26,³£¥«¡G¨ä¥L
RPQNMLMKJHNFFBM28CA,¥_§ë®H¬q,55.78,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¥æ³q¥Î¦a
RPQNMLMKJHNFFBM28CA,¥_§ë®H¬q,83.67,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¥æ³q¥Î¦a
RPOOMLRJKHNFFAM58CA,¤G­«·Ë¬q,1574.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPQNMLLKJHNFFAM08CA,·s«n¬q,1743.63,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¤BºØ«Ø¿v¥Î¦a
RPRNMLMJKHNFFBM38CA,¤é·s¬q,1371.00,³£¥«¡G¹A
RPPNMLNJKHNFFBM28CA,·s´I¼d¬q,30.62,³£¥«¡G¦í
RPTNMLLMJHNFFBM68CA,·s¥ú¬q,151.06,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPTNMLRJKHNFFBM09CA,·s«n©W¬q,1116.15,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPQOMLRKJHNFFAM78CA,·s¤}¾c¬q,676.74,«D³£¥«¡G¤@¯ë¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPUNMLRJKHNFFBM56CA,·s«n©W¬q,1056.66,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPQNMLRKJHNFFAM68CA,«n¤jÉÜ¬q,37.04,³£¥«¡G¨ä¥L
RPQNMLRKJHNFFAM68CA,«n¤jÉÜ¬q,20.66,³£¥«¡G¦í
RPQNMLRKJHNFFAM68CA,«n¤jÉÜ¬q,175.71,³£¥«¡G¦í
RPQNMLNJKHNFFBM38CA,·s´I¼d¬q,29.74,³£¥«¡G¦í
SPPNMLNJKHNFFBM38CA,·s´I¼d¬q,29.74,³£¥«¡G¦í
RPVNMLNLJHNFFAM88CA,¤G­«·Ë¬q,1699.20,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPVNMLOLJHNFFAM98CA,¤T±[¬q,2558.95,«D³£¥«¡G¤@¯ë¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPWNMLKKJHNFFAM58CA,¦W¤s¬q,6.06,³£¥«¡G¨ä¥L
RPWNMLKKJHNFFAM58CA,¦W¤s¬q,1884.67,³£¥«¡G¨ä¥L
RPWNMLRKJHNFFAM66CA,¥úµØ¬q,83.49,³£¥«¡G¦í
RPTNMLMKJHNFFCM68CA,©W¥J³»¬q,3144.27,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPUNMLMLJHNFFCM88CA,ªê¥J¦Õ¬q,117.31,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPPNMLQKJHNFFCM68CA,¨|­^¬q,296.06,³£¥«¡G¤u
RPRNMLLKJHNFFCM38CA,µo²»¬q,1580.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPRNMLLKJHNFFCM38CA,µo²»¬q,3990.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPSNMLPKJHNFFCM98DA,¤û§À¬q,1019.72,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPRNMLLKJHNFFAM18CA,·sú©¬q,197.90,³£¥«¡G¦í
RPSNMLQLJHNFFAM98DA,«á¼d¬q,1451.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPQNMLTKJHNFFCM09CA,©¾¤ß¬q,109.06,³£¥«¡G¨ä¥L
RPUNMLKKJHNFFAM48DA,«n§ë¬q,109.00,³£¥«¡G¦í
RPUNMLKKJHNFFAM48DA,«n§ë¬q,7.55,³£¥«¡G¦í
RPPOMLQKJHNFFAM58CA,­XÐ¤¸}¬q,59.00,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¥ÒºØ«Ø¿v¥Î¦a
RPPOMLQKJHNFFAM58CA,­XÐ¤¸}¬q,59.00,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¥ÒºØ«Ø¿v¥Î¦a
RPUNMLQKJHNFFAM98CA,¦¨¥\¬q,133.02,³£¥«¡G¦í
RPRNMLNLJHNFFCM78DA,®H¨½¬q±ö¤l¸}¤p¬q,14.67,³£¥«¡G¦í
RPPNMLKMJHNFFDM38CA,ªì¶m¬q,2393.25,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡GªL·~¥Î¦a
RPPNMLKMJHNFFDM38CA,ªì¶m¬q,777.75,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡GªL·~¥Î¦a
RPPNMLKMJHNFFDM38CA,ªì¶m¬q,1383.50,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPPNMLKMJHNFFDM38CA,ªì¶m¬q,1091.75,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡GªL·~¥Î¦a
RPPNMLKMJHNFFDM38CA,ªì¶m¬q,633.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡GªL·~¥Î¦a
RPPNMLKMJHNFFDM38CA,ªì¶m¬q,341.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPPNMLKMJHNFFDM38CA,ªì¶m¬q,820.25,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPPNMLKMJHNFFDM38CA,ªì¶m¬q,3009.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡GªL·~¥Î¦a
